,Firm,Year,Country,Sector,Revenue,Total Passages,Passages after Filter 1,Passages after Filter 2,Passages after Classification into SDGs,Result
76,Alphabet(Google),2023,USA,Information Technology,2062.0,855,75,63,40,"{'0': 2, '1': 0, '2': 0, '3': 2, '4': 6, '5': 0, '6': 0, '7': 1, '8': 12, '9': 30, '10': 0, '11': 0, '12': 2, '13': 4, '14': 0, '15': 0, '16': 7, '17': 1}"
77,Alphabet(Google),2015,USA,Information Technology,2062.0,1043,8,8,6,"{'0': 1, '1': 0, '2': 0, '3': 1, '4': 1, '5': 0, '6': 0, '7': 0, '8': 2, '9': 5, '10': 0, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 0, '17': 0}"
78,Alphabet(Google),2017,USA,Information Technology,2062.0,776,4,4,3,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 2, '10': 0, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
79,Alphabet(Google),2019,USA,Information Technology,2062.0,809,11,8,4,"{'0': 3, '1': 0, '2': 0, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 3, '10': 0, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 1, '17': 0}"
80,Alphabet(Google),2021,USA,Information Technology,2062.0,7233,21,6,4,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 1, '10': 0, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
81,Alphabet(Google),2020,USA,Information Technology,2062.0,930,16,13,8,"{'0': 3, '1': 0, '2': 0, '3': 2, '4': 3, '5': 0, '6': 0, '7': 0, '8': 3, '9': 4, '10': 2, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
82,Alphabet(Google),2018,USA,Information Technology,2062.0,827,7,7,4,"{'0': 2, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 1, '8': 0, '9': 4, '10': 0, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
83,Alphabet(Google),2016,USA,Information Technology,2062.0,851,9,9,8,"{'0': 1, '1': 0, '2': 0, '3': 1, '4': 1, '5': 0, '6': 0, '7': 1, '8': 2, '9': 7, '10': 0, '11': 2, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
84,Johnson&Johnson,2022,USA,Health Care,395.7,1228,1,1,1,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
85,Johnson&Johnson,2023,USA,Health Care,395.7,2355,4,2,1,"{'0': 1, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
86,Johnson&Johnson,2021,USA,Health Care,395.7,1242,1,1,1,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
87,Morgan&Chase,2022,USA,Financials,604.48,2982,15,10,9,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 8, '9': 6, '10': 0, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 1, '17': 0}"
88,Morgan&Chase,2023,USA,Financials,604.48,3383,26,20,17,"{'0': 0, '1': 1, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 13, '9': 10, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 5, '17': 0}"
89,Morgan&Chase,2015,USA,Financials,604.48,3246,2,1,1,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
90,Morgan&Chase,2017,USA,Financials,604.48,3041,4,3,2,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
91,Morgan&Chase,2019,USA,Financials,604.48,2541,2,2,1,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
92,Morgan&Chase,2021,USA,Financials,604.48,2889,17,6,6,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 3, '9': 3, '10': 0, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 2, '17': 0}"
93,Morgan&Chase,2020,USA,Financials,604.48,3164,12,8,8,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 6, '9': 8, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 1}"
94,Morgan&Chase,2018,USA,Financials,604.48,2901,12,8,8,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 7, '9': 7, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 2, '17': 0}"
95,Morgan&Chase,2016,USA,Financials,604.48,2866,8,7,6,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 5, '9': 5, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
96,Eli Lilly,2023,USA,Health Care,724.33,1077,8,2,1,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
97,Volkswagen,2014,Germany,Consumer Discretionary,52.66,2357,2,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
98,Volkswagen,2022,Germany,Consumer Discretionary,52.66,3371,18,7,7,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 1, '8': 2, '9': 6, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
99,Volkswagen,2023,Germany,Consumer Discretionary,52.66,3284,17,11,11,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 1, '8': 2, '9': 10, '10': 0, '11': 0, '12': 2, '13': 0, '14': 0, '15': 0, '16': 1, '17': 1}"
100,Volkswagen,2015,Germany,Consumer Discretionary,52.66,2526,4,1,1,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
101,Volkswagen,2017,Germany,Consumer Discretionary,52.66,2422,11,9,9,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 9, '10': 0, '11': 5, '12': 1, '13': 1, '14': 0, '15': 0, '16': 0, '17': 0}"
102,Volkswagen,2019,Germany,Consumer Discretionary,52.66,2513,9,6,6,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 5, '10': 0, '11': 3, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
103,Volkswagen,2021,Germany,Consumer Discretionary,52.66,2964,16,10,9,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 1, '8': 1, '9': 9, '10': 0, '11': 4, '12': 3, '13': 1, '14': 0, '15': 0, '16': 0, '17': 0}"
104,Volkswagen,2020,Germany,Consumer Discretionary,52.66,2685,24,8,8,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 8, '10': 0, '11': 4, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
105,Volkswagen,2018,Germany,Consumer Discretionary,52.66,2518,5,5,5,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 5, '10': 0, '11': 2, '12': 0, '13': 1, '14': 0, '15': 0, '16': 0, '17': 0}"
106,Volkswagen,2016,Germany,Consumer Discretionary,52.66,2651,13,8,8,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 8, '10': 0, '11': 6, '12': 1, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
107,Porsche,2022,Germany,Consumer Discretionary,67.4,2731,11,10,8,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 2, '5': 0, '6': 0, '7': 0, '8': 1, '9': 2, '10': 0, '11': 1, '12': 5, '13': 1, '14': 0, '15': 0, '16': 1, '17': 0}"
108,Porsche,2023,Germany,Consumer Discretionary,67.4,2873,13,9,8,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 5, '10': 0, '11': 1, '12': 3, '13': 0, '14': 0, '15': 0, '16': 2, '17': 0}"
109,Porsche,2017,Germany,Consumer Discretionary,67.4,769,1,1,1,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
110,Porsche,2019,Germany,Consumer Discretionary,67.4,1120,4,4,4,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 3, '10': 0, '11': 2, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 1}"
111,Porsche,2021,Germany,Consumer Discretionary,67.4,1485,12,12,11,"{'0': 0, '1': 0, '2': 0, '3': 2, '4': 1, '5': 0, '6': 0, '7': 0, '8': 3, '9': 5, '10': 0, '11': 0, '12': 6, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
112,Porsche,2020,Germany,Consumer Discretionary,67.4,1252,17,14,14,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 1, '5': 0, '6': 0, '7': 0, '8': 2, '9': 7, '10': 0, '11': 2, '12': 3, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
113,Porsche,2018,Germany,Consumer Discretionary,67.4,1003,2,2,2,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 2, '10': 0, '11': 2, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
114,SAP,2014,Germany,Information Technology,240.94,1912,1,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
115,SAP,2022,Germany,Information Technology,240.94,2315,18,11,11,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 2, '9': 6, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 5, '17': 0}"
116,SAP,2023,Germany,Information Technology,240.94,2388,65,41,32,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 14, '9': 25, '10': 0, '11': 0, '12': 4, '13': 1, '14': 0, '15': 0, '16': 5, '17': 2}"
117,SAP,2015,Germany,Information Technology,240.94,1933,4,2,2,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 1}"
118,SAP,2017,Germany,Information Technology,240.94,2303,37,28,24,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 15, '9': 21, '10': 1, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 1}"
119,SAP,2019,Germany,Information Technology,240.94,2566,33,25,23,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 2, '5': 1, '6': 0, '7': 0, '8': 15, '9': 18, '10': 1, '11': 0, '12': 1, '13': 0, '14': 0, '15': 0, '16': 2, '17': 1}"
120,SAP,2021,Germany,Information Technology,240.94,2387,28,18,18,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 8, '9': 10, '10': 0, '11': 0, '12': 4, '13': 0, '14': 0, '15': 0, '16': 5, '17': 1}"
121,SAP,2020,Germany,Information Technology,240.94,2607,40,32,30,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 12, '9': 23, '10': 0, '11': 0, '12': 7, '13': 1, '14': 0, '15': 0, '16': 4, '17': 0}"
122,SAP,2018,Germany,Information Technology,240.94,2607,58,48,47,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 36, '9': 42, '10': 0, '11': 0, '12': 1, '13': 0, '14': 0, '15': 0, '16': 3, '17': 3}"
123,SAP,2016,Germany,Information Technology,240.94,2274,15,12,11,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 6, '9': 10, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
124,Munich RE,2022,Germany,Financials,63.39,2072,11,10,10,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 3, '9': 6, '10': 1, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 6, '17': 0}"
125,Munich RE,2023,Germany,Financials,63.39,2635,17,11,11,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 5, '9': 10, '10': 1, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 3, '17': 0}"
126,Munich RE,2019,Germany,Financials,63.39,1563,4,3,2,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 1, '10': 0, '11': 1, '12': 0, '13': 1, '14': 0, '15': 0, '16': 0, '17': 0}"
127,Munich RE,2021,Germany,Financials,63.39,1845,11,8,8,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 6, '9': 6, '10': 1, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 3, '17': 0}"
128,Munich RE,2020,Germany,Financials,63.39,1777,5,5,5,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 5, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
129,Merck,2022,Germany,Health Care,78.9,2556,10,6,6,"{'0': 0, '1': 0, '2': 0, '3': 3, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 6, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 1}"
130,Merck,2023,Germany,Health Care,78.9,2597,37,26,23,"{'0': 1, '1': 0, '2': 0, '3': 9, '4': 1, '5': 0, '6': 0, '7': 1, '8': 1, '9': 18, '10': 0, '11': 0, '12': 6, '13': 0, '14': 0, '15': 0, '16': 2, '17': 0}"
131,Merck,2017,Germany,Health Care,78.9,2109,2,1,1,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
132,Merck,2019,Germany,Health Care,78.9,2211,9,8,8,"{'0': 0, '1': 0, '2': 0, '3': 4, '4': 1, '5': 0, '6': 0, '7': 0, '8': 2, '9': 5, '10': 0, '11': 0, '12': 1, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
133,Merck,2021,Germany,Health Care,78.9,2458,5,1,1,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
134,Merck,2020,Germany,Health Care,78.9,2361,9,8,8,"{'0': 0, '1': 0, '2': 1, '3': 2, '4': 3, '5': 0, '6': 0, '7': 0, '8': 3, '9': 3, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
135,Merck,2018,Germany,Health Care,78.9,2241,5,1,1,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
136,Siemens,2022,Germany,Industries,135.42,2036,11,6,6,"{'0': 0, '1': 0, '2': 0, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 4, '10': 0, '11': 0, '12': 1, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
137,Siemens,2023,Germany,Industries,135.42,2039,15,10,10,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 1, '8': 1, '9': 10, '10': 0, '11': 1, '12': 1, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
138,Siemens,2017,Germany,Industries,135.42,1440,3,3,3,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 1, '8': 2, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
139,Siemens,2019,Germany,Industries,135.42,1567,10,9,9,"{'0': 0, '1': 0, '2': 0, '3': 4, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 6, '10': 0, '11': 1, '12': 1, '13': 0, '14': 0, '15': 0, '16': 0, '17': 1}"
140,Siemens,2021,Germany,Industries,135.42,1938,13,9,9,"{'0': 0, '1': 0, '2': 0, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 8, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
141,Siemens,2020,Germany,Industries,135.42,1614,7,7,7,"{'0': 0, '1': 0, '2': 0, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 5, '10': 0, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
142,Siemens,2018,Germany,Industries,135.42,1440,3,3,3,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 2, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
143,Siemens,2016,Germany,Industries,135.42,1249,3,2,2,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 2, '8': 0, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
144,Deutsche Telekom,2022,Germany,Communication Services,130.56,3268,30,22,22,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 3, '5': 0, '6': 0, '7': 3, '8': 3, '9': 14, '10': 0, '11': 2, '12': 0, '13': 0, '14': 0, '15': 0, '16': 3, '17': 0}"
145,Deutsche Telekom,2023,Germany,Communication Services,130.56,3274,70,50,46,"{'0': 0, '1': 0, '2': 0, '3': 3, '4': 5, '5': 0, '6': 0, '7': 3, '8': 15, '9': 31, '10': 0, '11': 2, '12': 0, '13': 0, '14': 0, '15': 0, '16': 11, '17': 2}"
146,Deutsche Telekom,2017,Germany,Communication Services,130.56,2736,6,3,3,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 2, '9': 3, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
147,Deutsche Telekom,2019,Germany,Communication Services,130.56,2811,20,15,14,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 3, '9': 12, '10': 0, '11': 2, '12': 0, '13': 0, '14': 0, '15': 0, '16': 2, '17': 0}"
148,Deutsche Telekom,2021,Germany,Communication Services,130.56,3112,29,22,21,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 1, '8': 6, '9': 16, '10': 0, '11': 0, '12': 0, '13': 3, '14': 0, '15': 0, '16': 3, '17': 1}"
149,Deutsche Telekom,2020,Germany,Communication Services,130.56,2959,21,15,15,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 1, '8': 3, '9': 12, '10': 0, '11': 1, '12': 0, '13': 0, '14': 0, '15': 1, '16': 1, '17': 0}"
150,Deutsche Telekom,2016,Germany,Communication Services,130.56,2482,2,1,1,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
151,DHL Group,2022,Germany,Industries,49.82,1460,1,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
